Index,Date,MaxTemp
683,2019-11-15,57
684,2019-11-16,69
685,2019-11-17,70
686,2019-11-18,67
687,2019-11-19,54
688,2019-11-20,42
689,2019-11-21,46
690,2019-11-22,48
691,2019-11-23,55
692,2019-11-24,56
693,2019-11-25,44
694,2019-11-26,33
695,2019-11-27,26
696,2019-11-28,32
697,2019-11-29,26
698,2019-11-30,36
699,2019-12-01,39
700,2019-12-02,43
701,2019-12-03,54
702,2019-12-04,48
703,2019-12-05,45
704,2019-12-06,47
705,2019-12-07,42
706,2019-12-08,42
707,2019-12-09,47
708,2019-12-10,49
709,2019-12-11,42
710,2019-12-12,44
711,2019-12-13,43
712,2019-12-14,37
713,2019-12-15,33
714,2019-12-16,46
715,2019-12-17,44
716,2019-12-18,36
717,2019-12-19,45
718,2019-12-20,48
719,2019-12-21,48
720,2019-12-22,47
721,2019-12-23,38
722,2019-12-24,31
723,2019-12-25,32
724,2019-12-26,39
725,2019-12-27,45
726,2019-12-28,50
727,2019-12-29,45
728,2019-12-30,48
729,2019-12-31,55
730,2020-01-01,49
731,2020-01-02,53
732,2020-01-03,56
733,2020-01-04,46
734,2020-01-05,40
735,2020-01-06,52
736,2020-01-07,48
737,2020-01-08,33
738,2020-01-09,36
739,2020-01-10,44
740,2020-01-11,32
741,2020-01-12,32
742,2020-01-13,31
743,2020-01-14,32
744,2020-01-15,34
745,2020-01-16,34
746,2020-01-17,34
747,2020-01-18,49
748,2020-01-19,56
749,2020-01-20,48
750,2020-01-21,38
751,2020-01-22,47
752,2020-01-23,52
753,2020-01-24,44
754,2020-01-25,52
755,2020-01-26,41
756,2020-01-27,43
757,2020-01-28,38
758,2020-01-29,53
759,2020-01-30,55
760,2020-01-31,63
761,2020-02-01,63
762,2020-02-02,48
763,2020-02-03,32
764,2020-02-04,41
765,2020-02-05,54
766,2020-02-06,60
767,2020-02-07,59
768,2020-02-08,49
769,2020-02-09,40
770,2020-02-10,55
771,2020-02-11,59
772,2020-02-12,57
773,2020-02-13,51
774,2020-02-14,52
775,2020-02-15,51
776,2020-02-16,50
777,2020-02-17,55
778,2020-02-18,50
779,2020-02-19,50
780,2020-02-20,52
781,2020-02-21,55
782,2020-02-22,55
783,2020-02-23,50
784,2020-02-24,57
785,2020-02-25,62
786,2020-02-26,59
787,2020-02-27,63
788,2020-02-28,57
789,2020-02-29,51
790,2020-03-01,35
791,2020-03-02,48
792,2020-03-03,65
793,2020-03-04,62
794,2020-03-05,59
795,2020-03-06,57
796,2020-03-07,40
797,2020-03-08,35
798,2020-03-09,45
799,2020-03-10,58
800,2020-03-11,51
801,2020-03-12,62
802,2020-03-13,51
803,2020-03-14,34
804,2020-03-15,M
805,2020-03-16,M
806,2020-03-17,M
807,2020-03-18,M
808,2020-03-19,37
809,2020-03-20,44
810,2020-03-21,47
811,2020-03-22,47
812,2020-03-23,41
813,2020-03-24,32
814,2020-03-25,30
815,2020-03-26,36
816,2020-03-27,38
817,2020-03-28,36
818,2020-03-29,37
819,2020-03-30,40
820,2020-03-31,45
821,2020-04-01,41
822,2020-04-02,46
823,2020-04-03,46
824,2020-04-04,38
825,2020-04-05,33
826,2020-04-06,39
827,2020-04-07,46
828,2020-04-08,59
829,2020-04-09,40
830,2020-04-10,53
831,2020-04-11,55
832,2020-04-12,53
833,2020-04-13,54
834,2020-04-14,58
835,2020-04-15,58
836,2020-04-16,60
837,2020-04-17,55
838,2020-04-18,51
839,2020-04-19,50
840,2020-04-20,48
841,2020-04-21,59
842,2020-04-22,61
843,2020-04-23,63
844,2020-04-24,69
845,2020-04-25,66
846,2020-04-26,66
847,2020-04-27,66
848,2020-04-28,74
849,2020-04-29,68
850,2020-04-30,59
851,2020-05-01,62
852,2020-05-02,57
853,2020-05-03,57
854,2020-05-04,63
855,2020-05-05,64
856,2020-05-06,68
857,2020-05-07,75
858,2020-05-08,76
859,2020-05-09,74
860,2020-05-10,69
861,2020-05-11,57
862,2020-05-12,42
863,2020-05-13,46
864,2020-05-14,44
865,2020-05-15,58
866,2020-05-16,62
867,2020-05-17,47
868,2020-05-18,40
869,2020-05-19,42
870,2020-05-20,52
871,2020-05-21,59
872,2020-05-22,55
873,2020-05-23,64
874,2020-05-24,70
875,2020-05-25,75
876,2020-05-26,78
877,2020-05-27,79
878,2020-05-28,83
879,2020-05-29,80
880,2020-05-30,56
881,2020-05-31,60
882,2020-06-01,64
883,2020-06-02,76
884,2020-06-03,78
885,2020-06-04,79
886,2020-06-05,72
887,2020-06-06,53
888,2020-06-07,48
889,2020-06-08,61
890,2020-06-09,69
891,2020-06-10,74
892,2020-06-11,74
893,2020-06-12,61
